mpn,manufacturer,family,application,replacement_offered,source,availability,withdrawal,last_time_buy,last_time_ship,reason,source_notice,source_url
DSP56F801FA60E,NXP,DSP56F80x,motor control / industrial drives,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
DSP56F801FA80E,NXP,DSP56F80x,motor control / industrial drives,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
DSP56F803BU80E,NXP,DSP56F80x,motor control / industrial drives,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
DSP56F805FV80E,NXP,DSP56F80x,motor control / industrial drives,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
DSP56F807PY80E,NXP,DSP56F80x,motor control / industrial drives,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
DSP56F807VF80E,NXP,DSP56F80x,motor control / industrial drives,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
DSP56F826BU80E,NXP,DSP56F80x,motor control / industrial drives,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
DSP56F827FG80E,NXP,DSP56F80x,motor control / industrial drives,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC68331CAG16,NXP,MC683xx,industrial controllers / machine control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC68331CAG20,NXP,MC683xx,industrial controllers / machine control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC68332ACAG16,NXP,MC683xx,industrial controllers / machine control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC68332ACAG20,NXP,MC683xx,industrial controllers / machine control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC68332ACAG25,NXP,MC683xx,industrial controllers / machine control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC68332GCAG16,NXP,MC683xx,industrial controllers / machine control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC68332GCAG20,NXP,MC683xx,industrial controllers / machine control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC68HC16Z1CAG16,NXP,MC68HC16,industrial controllers,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC68HC16Z1CAG20,NXP,MC68HC16,industrial controllers,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC68HC16Z1CAG25,NXP,MC68HC16,industrial controllers,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
SC68376BACAB20,NXP,SC68376,industrial / powertrain control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
