mpn,manufacturer,lifecycle,lifecycle_class,seller,authorized,quantity,unit_price,currency,price_qty,price_break_count,retrieved_at,authorized_stock,authorized_offers,broker_stock,median_price,price_ratio,seller_obsolete_share,flags
DSP56F807VF80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Worldway Electronics,False,8332,21.3736,USD,7,5,2026-08-31T20:44:33+00:00,252,3,247913,46.7305,0.457,,outstocks_channel|underpriced
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,SHENGYU ELECTRONICS,False,7888,0.9188,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,0.034,,outstocks_channel|underpriced
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Worldway Electronics,False,7429,3.8798,USD,7,5,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,0.117,,outstocks_channel|underpriced
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Worldway Electronics,False,5875,1.4504,USD,7,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,0.053,,outstocks_channel|underpriced
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Worldway Electronics,False,5773,3.4186,USD,7,5,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,0.136,,outstocks_channel|underpriced
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Worldway Electronics,False,5744,16.5174,USD,7,5,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,0.469,,phantom_stock|underpriced
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,IC Components Ltd.,False,3516,11.1572,USD,1,1,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,0.336,,outstocks_channel|underpriced
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,IC Components Ltd.,False,2200,3.42,USD,1,1,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,0.136,,outstocks_channel|underpriced
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,YIC International,False,2100,3.4124,USD,1,1,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,0.136,,outstocks_channel|underpriced
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,YIC International,False,1907,11.1907,USD,1,1,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,0.337,,outstocks_channel|underpriced
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Hi-Tech Circuit Group Ltd.,False,1291,0.7,USD,100,3,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,0.021,,outstocks_channel|underpriced
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Hi-Tech Circuit Group Ltd.,False,1170,0.7,USD,100,3,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,0.028,,outstocks_channel|underpriced
DSP56F807VF80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Antdic Electronics,False,48360,23.99821,USD,1,5,2026-08-31T20:44:33+00:00,252,3,247913,46.7305,0.514,,outstocks_channel
DSP56F827FG80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,"Fmall Co., Limited",False,47030,20.2556,USD,1,4,2026-08-31T20:44:36+00:00,1546,4,379548,23.65,0.856,,outstocks_channel
DSP56F807PY80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,45234,44.06,USD,1,5,2026-08-31T20:44:32+00:00,2813,4,182053,41.646,1.058,,outstocks_channel
DSP56F827FG80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,44860,27.31036,USD,1,1,2026-08-31T20:44:36+00:00,1546,4,379548,23.65,1.155,,outstocks_channel
DSP56F803BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,44180,27.19178,USD,1,1,2026-08-31T20:44:29+00:00,3841,7,254205,35.2796,0.771,,outstocks_channel
DSP56F827FG80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,43643,27.31036,USD,1,1,2026-08-31T20:44:36+00:00,1546,4,379548,23.65,1.155,,outstocks_channel
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Antdic Electronics,False,42233,21.5905,USD,1,5,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,0.861,,outstocks_channel
DSP56F803BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,"Fmall Co., Limited",False,41710,26.7691,USD,1,4,2026-08-31T20:44:29+00:00,3841,7,254205,35.2796,0.759,,outstocks_channel
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,39783,41.02,USD,1,5,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,1.165,,phantom_stock
DSP56F807VF80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,38476,47.51,USD,1,1,2026-08-31T20:44:33+00:00,252,3,247913,46.7305,1.017,,outstocks_channel
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,37138,33.42107,USD,1,1,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,1.008,,outstocks_channel
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,36319,35.10583,USD,1,1,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,1.4,,outstocks_channel
DSP56F827FG80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Chipsmall Limited,False,36000,16.00852,USD,1,5,2026-08-31T20:44:36+00:00,1546,4,379548,23.65,0.677,,outstocks_channel
DSP56F827FG80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,35746,27.31036,USD,1,1,2026-08-31T20:44:36+00:00,1546,4,379548,23.65,1.155,,outstocks_channel
DSP56F807VF80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,34864,47.51,USD,1,1,2026-08-31T20:44:33+00:00,252,3,247913,46.7305,1.017,,outstocks_channel
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ICPartonline,False,34544,21.5905,USD,1,5,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,0.861,,outstocks_channel
DSP56F807VF80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ICPartonline,False,31432,23.99821,USD,1,5,2026-08-31T20:44:33+00:00,252,3,247913,46.7305,0.514,,outstocks_channel
DSP56F807VF80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,"Fmall Co., Limited",False,30770,37.4306,USD,1,4,2026-08-31T20:44:33+00:00,252,3,247913,46.7305,0.801,,outstocks_channel
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,"Fmall Co., Limited",False,30530,32.9071,USD,1,4,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,0.992,,outstocks_channel
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,"Fmall Co., Limited",False,30380,22.5797,USD,1,4,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,0.901,,outstocks_channel
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,29688,35.10583,USD,1,1,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,1.4,,outstocks_channel
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,29611,33.42107,USD,1,1,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,1.008,,outstocks_channel
DSP56F827FG80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Lingto Electronic Ltd.,False,29570,19.78,USD,1,5,2026-08-31T20:44:36+00:00,1546,4,379548,23.65,0.836,,outstocks_channel
DSP56F803BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Antdic Electronics,False,29259,16.733,USD,1,5,2026-08-31T20:44:29+00:00,3841,7,254205,35.2796,0.474,,underpriced
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Antdic Electronics,False,28931,20.561,USD,1,5,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,0.62,,outstocks_channel
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ICPartonline,False,25306,20.561,USD,1,5,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,0.62,,outstocks_channel
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Lingto Electronic Ltd.,False,23245,27.91,USD,1,5,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,1.113,,outstocks_channel
